CompDate,HomeTeam,AwayTeam,Score,YearDivision
Prem19 Mar,Drogheda United,Waterford,1 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem19 Mar,Shamrock Rovers,St. Patrick's Athletic,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Mar,Sligo Rovers,Dundalk,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Mar,Longford Town,Derry City,2 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Mar,Finn Harps,Bohemians,1 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem26 Mar,Dundalk,Finn Harps,1 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem26 Mar,Waterford,Sligo Rovers,1 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem27 Mar,St. Patrick's Athletic,Drogheda United,2 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem27 Mar,Bohemians,Longford Town,2 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem02 Apr,Longford Town,Sligo Rovers,0 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem02 Apr,Shamrock Rovers,Dundalk,2 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 Apr,Bohemians,St. Patrick's Athletic,0 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 Apr,Derry City,Waterford,1 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 Apr,Drogheda United,Finn Harps,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem09 Apr,St. Patrick's Athletic,Derry City,2 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem09 Apr,Dundalk,Bohemians,0 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem10 Apr,Sligo Rovers,Shamrock Rovers,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem10 Apr,Longford Town,Drogheda United,0 - 4FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem10 Apr,Finn Harps,Waterford,2 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem13 Apr,Derry City,Shamrock Rovers,0 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem16 Apr,Waterford,Bohemians,0 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem16 Apr,Derry City,Drogheda United,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem17 Apr,Sligo Rovers,Finn Harps,1 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem17 Apr,Shamrock Rovers,Longford Town,2 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem17 Apr,Dundalk,St. Patrick's Athletic,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Apr,Drogheda United,Shamrock Rovers,0 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Apr,Bohemians,Sligo Rovers,1 - 3FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Apr,Derry City,Dundalk,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Apr,Longford Town,Finn Harps,0 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem20 Apr,St. Patrick's Athletic,Waterford,1 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem23 Apr,Finn Harps,St. Patrick's Athletic,0 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem23 Apr,Shamrock Rovers,Bohemians,2 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 Apr,Sligo Rovers,Derry City,0 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 Apr,Waterford,Longford Town,1 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 Apr,Dundalk,Drogheda United,2 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem30 Apr,Drogheda United,Sligo Rovers,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem30 Apr,St. Patrick's Athletic,Longford Town,3 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem30 Apr,Finn Harps,Shamrock Rovers,0 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem30 Apr,Waterford,Dundalk,0 - 3FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem30 Apr,Bohemians,Derry City,1 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 May,Shamrock Rovers,Waterford,3 - 0FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 May,Drogheda United,Bohemians,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 May,Longford Town,Dundalk,2 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 May,Sligo Rovers,St. Patrick's Athletic,1 - 1FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 May,Derry City,Finn Harps,1 - 2FT,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem07 May,Derry City,Longford Town,5:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem07 May,Dundalk,Sligo Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem08 May,Waterford,Drogheda United,5:23 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem08 May,St. Patrick's Athletic,Shamrock Rovers,6 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem08 May,Bohemians,Finn Harps,6 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem14 May,Finn Harps,Dundalk,5:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem14 May,Drogheda United,St. Patrick's Athletic,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem15 May,Sligo Rovers,Waterford,6 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem15 May,Longford Town,Bohemians,6 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem15 May,Shamrock Rovers,Derry City,6 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 May,St. Patrick's Athletic,Bohemians,5:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 May,Waterford,Derry City,5:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 May,Dundalk,Shamrock Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 May,Sligo Rovers,Longford Town,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 May,Finn Harps,Drogheda United,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 May,Derry City,St. Patrick's Athletic,5:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 May,Bohemians,Dundalk,5:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 May,Shamrock Rovers,Sligo Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 May,Drogheda United,Longford Town,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem24 May,Waterford,Finn Harps,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem28 May,Finn Harps,Sligo Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem28 May,St. Patrick's Athletic,Dundalk,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem28 May,Drogheda United,Derry City,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem29 May,Longford Town,Shamrock Rovers,4 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem29 May,Bohemians,Waterford,4 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem11 Jun,Dundalk,Waterford,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem11 Jun,Derry City,Bohemians,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem11 Jun,Shamrock Rovers,Finn Harps,8 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem12 Jun,Longford Town,St. Patrick's Athletic,7:30 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem12 Jun,Sligo Rovers,Drogheda United,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem18 Jun,Bohemians,Drogheda United,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem18 Jun,St. Patrick's Athletic,Sligo Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem18 Jun,Waterford,Shamrock Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem18 Jun,Dundalk,Longford Town,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem18 Jun,Finn Harps,Derry City,8 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 Jun,Bohemians,Shamrock Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 Jun,Derry City,Sligo Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 Jun,St. Patrick's Athletic,Finn Harps,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem21 Jun,Drogheda United,Dundalk,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem22 Jun,Longford Town,Waterford,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem25 Jun,Dundalk,Derry City,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem25 Jun,Waterford,St. Patrick's Athletic,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem25 Jun,Shamrock Rovers,Drogheda United,8 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem25 Jun,Finn Harps,Longford Town,8 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem26 Jun,Sligo Rovers,Bohemians,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem02 Jul,Bohemians,St. Patrick's Athletic,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem02 Jul,Derry City,Waterford,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem02 Jul,Drogheda United,Finn Harps,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem02 Jul,Shamrock Rovers,Dundalk,8 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem03 Jul,Longford Town,Sligo Rovers,7:30 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem09 Jul,St. Patrick's Athletic,Derry City,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem09 Jul,Dundalk,Bohemians,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem09 Jul,Finn Harps,Waterford,8 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem10 Jul,Longford Town,Drogheda United,7:30 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem10 Jul,Sligo Rovers,Shamrock Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem16 Jul,Waterford,Sligo Rovers,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
Prem16 Jul,St. Patrick's Athletic,Drogheda United,7:45 p.m. ,https://www.extratime.com/competition/100/2033/#2021-league-of-ireland-premier-division
